scientific_name,common_name,family,population,conservation
Corvus corax,Common Raven,Corvidae,16000000,LC
Haliaeetus leucocephalus,Bald Eagle,Accipitridae,316700,LC
Strix aluco,Tawny Owl,Strigidae,1500000,LC
Pica pica,Eurasian Magpie,Corvidae,75000000,LC
Turdus merula,Common Blackbird,Turdidae,250000000,LC
Aptenodytes forsteri,Emperor Penguin,Spheniscidae,595000,NT
Spheniscus humboldti,Humboldt Penguin,Spheniscidae,32000,VU
Falco peregrinus,Peregrine Falcon,Falconidae,140000,LC
Bubo virginianus,Great Horned Owl,Strigidae,6000000,LC
Grus canadensis,Sandhill Crane,Gruidae,650000,LC
